OBS: node 24(L)	 pieces completed: 6	 	 down: 2	 up: 0 time: 70000
OBS: node 1(L)	 pieces completed: 8	 	 down: 0	 up: 0 time: 80000
OBS: node 2(L)	 pieces completed: 2	 	 down: 3	 up: 0 time: 80000
OBS: node 3(L)	 pieces completed: 7	 	 down: 0	 up: 0 time: 80000
OBS: node 4(L)	 pieces completed: 13	 	 down: 5	 up: 5 time: 80000
OBS: node 5(L)	 pieces completed: 35	 	 down: 4	 up: 3 time: 80000
OBS: node 6(L)	 pieces completed: 27	 	 down: 0	 up: 3 time: 80000
OBS: node 7(L)	 pieces completed: 1	 	 down: 0	 up: 0 time: 80000
OBS: node 8(L)	 pieces completed: 12	 	 down: 0	 up: 8 time: 80000
OBS: node 9(L)	 pieces completed: 12	 	 down: 3	 up: 0 time: 80000
OBS: node 10(L)	 pieces completed: 17	 	 down: 0	 up: 2 time: 80000
OBS: node 11(L)	 pieces completed: 2	 	 down: 5	 up: 0 time: 80000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 8 time: 80000
OBS: node 13(L)	 pieces completed: 22	 	 down: 3	 up: 0 time: 80000
OBS: node 14(L)	 pieces completed: 12	 	 down: 3	 up: 0 time: 80000
OBS: node 15(L)	 pieces completed: 24	 	 down: 0	 up: 2 time: 80000
OBS: node 16(L)	 pieces completed: 21	 	 down: 2	 up: 0 time: 80000
OBS: node 17(L)	 pieces completed: 24	 	 down: 2	 up: 4 time: 80000
OBS: node 18(L)	 pieces completed: 16	 	 down: 3	 up: 0 time: 80000
OBS: node 19(L)	 pieces completed: 10	 	 down: 0	 up: 0 time: 80000
OBS: node 20(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 80000
OBS: node 21(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 80000
OBS: node 22(L)	 pieces completed: 20	 	 down: 0	 up: 0 time: 80000
OBS: node 23(L)	 pieces completed: 3	 	 down: 2	 up: 0 time: 80000
OBS: node 24(L)	 pieces completed: 7	 	 down: 0	 up: 0 time: 80000
OBS: node 1(L)	 pieces completed: 8	 	 down: 0	 up: 0 time: 90000
OBS: node 2(L)	 pieces completed: 9	 	 down: 2	 up: 0 time: 90000
OBS: node 3(L)	 pieces completed: 7	 	 down: 0	 up: 1 time: 90000
OBS: node 4(L)	 pieces completed: 16	 	 down: 3	 up: 0 time: 90000
OBS: node 5(L)	 pieces completed: 35	 	 down: 0	 up: 5 time: 90000
OBS: node 6(L)	 pieces completed: 27	 	 down: 0	 up: 5 time: 90000
OBS: node 7(L)	 pieces completed: 1	 	 down: 0	 up: 0 time: 90000
OBS: node 8(L)	 pieces completed: 18	 	 down: 3	 up: 0 time: 90000
OBS: node 9(L)	 pieces completed: 14	 	 down: 5	 up: 3 time: 90000
OBS: node 10(L)	 pieces completed: 21	 	 down: 4	 up: 0 time: 90000
OBS: node 11(L)	 pieces completed: 2	 	 down: 0	 up: 0 time: 90000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 5 time: 90000
OBS: node 13(L)	 pieces completed: 30	 	 down: 2	 up: 4 time: 90000
OBS: node 14(L)	 pieces completed: 18	 	 down: 3	 up: 1 time: 90000
OBS: node 15(L)	 pieces completed: 26	 	 down: 4	 up: 0 time: 90000
OBS: node 16(L)	 pieces completed: 28	 	 down: 1	 up: 0 time: 90000
OBS: node 17(L)	 pieces completed: 25	 	 down: 0	 up: 3 time: 90000
OBS: node 18(L)	 pieces completed: 21	 	 down: 4	 up: 1 time: 90000
OBS: node 19(L)	 pieces completed: 17	 	 down: 1	 up: 5 time: 90000
OBS: node 20(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 90000
OBS: node 21(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 90000
OBS: node 22(L)	 pieces completed: 20	 	 down: 0	 up: 0 time: 90000
OBS: node 23(L)	 pieces completed: 4	 	 down: 0	 up: 0 time: 90000
OBS: node 24(L)	 pieces completed: 15	 	 down: 1	 up: 0 time: 90000
OBS: node 1(L)	 pieces completed: 8	 	 down: 0	 up: 0 time: 100000
OBS: node 2(L)	 pieces completed: 9	 	 down: 0	 up: 0 time: 100000
OBS: node 3(L)	 pieces completed: 10	 	 down: 3	 up: 1 time: 100000
OBS: node 4(L)	 pieces completed: 20	 	 down: 5	 up: 5 time: 100000
OBS: node 5(L)	 pieces completed: 36	 	 down: 0	 up: 4 time: 100000
OBS: node 6(L)	 pieces completed: 29	 	 down: 3	 up: 6 time: 100000
OBS: node 7(L)	 pieces completed: 8	 	 down: 5	 up: 0 time: 100000
OBS: node 8(L)	 pieces completed: 19	 	 down: 0	 up: 6 time: 100000
OBS: node 9(L)	 pieces completed: 15	 	 down: 5	 up: 8 time: 100000
OBS: node 10(L)	 pieces completed: 22	 	 down: 0	 up: 0 time: 100000
OBS: node 11(L)	 pieces completed: 9	 	 down: 1	 up: 0 time: 100000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 7 time: 100000
OBS: node 13(L)	 pieces completed: 36	 	 down: 3	 up: 0 time: 100000
